p0 (For observed curve),n_qc_max (For observed curve),p0(For analytic curve),n_qc_max (For analytic curve)
,,2.135847169434e-10,3.451319132672e-01
,,2.136447289458e-10,3.457962424068e-01
,,2.137047409482e-10,3.464585266245e-01
,,2.137647529506e-10,3.471187786085e-01
,,2.138247649530e-10,3.477770109138e-01
,,2.138847769554e-10,3.484332359633e-01
,,2.139447889578e-10,3.490874660505e-01
,,2.140048009602e-10,3.497397133413e-01
,,2.140648129626e-10,3.503899898754e-01
,,2.141248249650e-10,3.510383075689e-01
,,2.141848369674e-10,3.516846782155e-01
,,2.142448489698e-10,3.523291134885e-01
,,2.143048609722e-10,3.529716249426e-01
,,2.143648729746e-10,3.536122240156e-01
,,2.144248849770e-10,3.542509220300e-01
,,2.144848969794e-10,3.548877301947e-01
,,2.145449089818e-10,3.555226596066e-01
,,2.146049209842e-10,3.561557212522e-01
,,2.146649329866e-10,3.567869260093e-01
,,2.147249449890e-10,3.574162846483e-01
,,2.147849569914e-10,3.580438078337e-01
,,2.148449689938e-10,3.586695061260e-01
,,2.149049809962e-10,3.592933899825e-01
,,2.149649929986e-10,3.599154697592e-01
,,2.150250050010e-10,3.605357557121e-01
,,2.150850170034e-10,3.611542579986e-01
,,2.151450290058e-10,3.617709866785e-01
,,2.152050410082e-10,3.623859517160e-01
,,2.152650530106e-10,3.629991629803e-01
,,2.153250650130e-10,3.636106302474e-01
,,2.153850770154e-10,3.642203632011e-01
,,2.154450890178e-10,3.648283714342e-01
,,2.155051010202e-10,3.654346644499e-01
,,2.155651130226e-10,3.660392516630e-01
,,2.156251250250e-10,3.666421424008e-01
,,2.156851370274e-10,3.672433459044e-01
,,2.157451490298e-10,3.678428713300e-01
,,2.158051610322e-10,3.684407277499e-01
,,2.158651730346e-10,3.690369241535e-01
,,2.159251850370e-10,3.696314694484e-01
,,2.159851970394e-10,3.702243724615e-01
,,2.160452090418e-10,3.708156419402e-01
,,2.161052210442e-10,3.714052865531e-01
,,2.161652330466e-10,3.719933148913e-01
,,2.162252450490e-10,3.725797354692e-01
,,2.162852570514e-10,3.731645567256e-01
,,2.163452690538e-10,3.737477870245e-01
,,2.164052810562e-10,3.743294346563e-01
,,2.164652930586e-10,3.749095078385e-01
,,2.165253050610e-10,3.754880147165e-01
,,2.165853170634e-10,3.760649633650e-01
,,2.166453290658e-10,3.766403617883e-01
,,2.167053410682e-10,3.772142179216e-01
,,2.167653530706e-10,3.777865396315e-01
,,2.168253650730e-10,3.783573347173e-01
,,2.168853770754e-10,3.789266109113e-01
,,2.169453890778e-10,3.794943758799e-01
,,2.170054010802e-10,3.800606372245e-01
,,2.170654130826e-10,3.806254024821e-01
,,2.171254250850e-10,3.811886791261e-01
,,2.171854370874e-10,3.817504745672e-01
,,2.172454490898e-10,3.823107961537e-01
,,2.173054610922e-10,3.828696511731e-01
,,2.173654730946e-10,3.834270468520e-01
,,2.174254850970e-10,3.839829903573e-01
,,2.174854970994e-10,3.845374887965e-01
,,2.175455091018e-10,3.850905492189e-01
,,2.176055211042e-10,3.856421786159e-01
,,2.176655331066e-10,3.861923839219e-01
,,2.177255451090e-10,3.867411720148e-01
,,2.177855571114e-10,3.872885497168e-01
,,2.178455691138e-10,3.878345237947e-01
,,2.179055811162e-10,3.883791009612e-01
,,2.179655931186e-10,3.889222878748e-01
,,2.180256051210e-10,3.894640911411e-01
,,2.180856171234e-10,3.900045173126e-01
,,2.181456291258e-10,3.905435728902e-01
,,2.182056411282e-10,3.910812643231e-01
,,2.182656531306e-10,3.916175980096e-01
,,2.183256651330e-10,3.921525802979e-01
,,2.183856771354e-10,3.926862174862e-01
,,2.184456891378e-10,3.932185158238e-01
,,2.185057011402e-10,3.937494815111e-01
,,2.185657131426e-10,3.942791207007e-01
,,2.186257251450e-10,3.948074394973e-01
,,2.186857371474e-10,3.953344439589e-01
,,2.187457491498e-10,3.958601400967e-01
,,2.188057611522e-10,3.963845338762e-01
,,2.188657731546e-10,3.969076312170e-01
,,2.189257851570e-10,3.974294379941e-01
,,2.189857971594e-10,3.979499600377e-01
,,2.190458091618e-10,3.984692031341e-01
,,2.191058211642e-10,3.989871730259e-01
,,2.191658331666e-10,3.995038754128e-01
,,2.192258451690e-10,4.000193159518e-01
,,2.192858571714e-10,4.005335002576e-01
,,2.193458691738e-10,4.010464339033e-01
,,2.194058811762e-10,4.015581224207e-01
,,2.194658931786e-10,4.020685713007e-01
,,2.195259051810e-10,4.025777859938e-01
,,2.195859171834e-10,4.030857719106e-01
,,2.196459291858e-10,4.035925344220e-01
,,2.197059411882e-10,4.040980788598e-01
,,2.197659531906e-10,4.046024105171e-01
,,2.198259651930e-10,4.051055346485e-01
,,2.198859771954e-10,4.056074564708e-01
,,2.199459891978e-10,4.061081811632e-01
,,2.200060012002e-10,4.066077138676e-01
,,2.200660132026e-10,4.071060596894e-01
,,2.201260252050e-10,4.076032236974e-01
